SMILES,Solvent,AM,EM,QY,AC,ST,LGAC,Et30,SP,SdP,SA,SB
CCN1C(=O)C(=C/C=C\C=C\C=C2/Sc3ccccc3N2CC)C(=O)N(CC)C1=S,CCCCCC,655,,,,,,31,0.616,0,0,0.056
CCN1C(=O)C(=C/C=C\C=C\C=C2/Sc3ccccc3N2CC)C(=O)N(CC)C1=S,C(Cl)Cl,711,731,,296600,20,5.472171147,40.7,0.761,0.769,0.04,0.178
CC(=O)OC(=C\C=C1\N(CCCCS(=O)(=O)O)c2ccc(Cl)cc2C1(C)C)/C=C/C=C/C1=[N+](CCCCS(=O)(=O)[O-])c2ccccc2C1(C)C,O,750,786,0.0281,115000,36,5.06069784,63.1,0.681,0.997,1.062,0.025
CC1(C)C(/C=C/C=C/C=C/C=C2/N(CCCCCC(=O)NCCCCCC(=O)NCCCCCC(=O)O)c3ccc(S(=O)(=O)[O-])cc3C2(C)C)=[N+](CCCCC[N+](C)(C)C)c2ccc(S(=O)(=O)[O-])cc21,O,649,665,0.34,239000,16,5.378397901,63.1,0.681,0.997,1.062,0.025
CN1/C(=C/C=C2\CCCC(C3=[N+](C)c4ccccc4C3(C)C)=C2Cl)C(C)(C)c2ccccc21,C(Cl)Cl,786,,,338000,,5.5289167,40.7,0.761,0.769,0.04,0.178
Cn1c(-c2ccc(F)cc2)nn2c(/C(c3ccc(F)cc3)=c3/c4ccccc4c4n3nc(-c3ccc(F)cc3)[n+]4C)c3ccccc3c12,CC#N,581,,,45708,,4.659992219,45.6,0.645,0.974,0.044,0.286
CCCCN1/C(=C/C=C/C2=[N+](CCCC)c3ccccc3C2(C)C)C(C)(C)C2C=CC=CC21,O,543,590,,,47,,63.1,0.681,0.997,1.062,0.025
CCCCN1/C(=C/C=C/C2=[N+](CCCC)c3ccccc3C2(C)C)C(C)(C)C2C=CC=CC21,C1CCOC1,556,592,,,36,,37.4,0.714,0.634,0,0.591
CCCCN1/C(=C/C=C/C2=[N+](CCCC)c3ccccc3C2(C)C)C(C)(C)C2C=CC=CC21,CC1=CC=CC=C1,564,608,,,44,,33.9,0.782,0.284,0,0.128
CCCCN1/C(=C/C=C/C2=[N+](CCCC)c3ccccc3C2(C)C)C(C)(C)C2C=CC=CC21,CN(C)C=O,559,603,,,44,,43.2,0.759,0.977,0.031,0.613
C(=Cc1cc[n+](CCCCCCCCCC[n+]2ccc(C=Cc3ccc(N(c4ccccc4)c4ccccc4)cc3)c3ccccc32)c2ccccc12)c1ccc(N(c2ccccc2)c2ccccc2)cc1,C1CCOC1,536,731,,,195,,37.4,0.714,0.634,0,0.591
C(=Cc1cc[n+](CCCCCCCCCC[n+]2ccc(C=Cc3ccc(N(c4ccccc4)c4ccccc4)cc3)c3ccccc32)c2ccccc12)c1ccc(N(c2ccccc2)c2ccccc2)cc1,CCOC(=O)C,527,703,,,176,,38.1,0.656,0.603,0,0.542
C(=Cc1cc[n+](CCCCCCCCCC[n+]2ccc(C=Cc3ccc(N(c4ccccc4)c4ccccc4)cc3)c3ccccc32)c2ccccc12)c1ccc(N(c2ccccc2)c2ccccc2)cc1,CN(C)C=O,522,716,,11200,194,4.049218023,43.2,0.759,0.977,0.031,0.613
C[N+]1=C(/C=C/C2=C3Oc4c(cc(F)c(N5CCCCC5)c4F)C=C3CCC2)C(C)(C)c2ccccc21,CCO,621,732,0.015,31900,111,4.503790683,51.9,0.633,0.783,0.4,0.658
CC1=CC(=Cc2sc3ccccc3[n+]2C)C=C(C)N1CCCCCC(=O)Nc1c2ccccc2nc2ccccc12,CN(C)C=O,447,,,,,,43.2,0.759,0.977,0.031,0.613
CN1/C(=C/C=C2\CCCCC(C3=[N+](C)c4ccccc4C3(C)C)=C2Cl)C(C)(C)c2ccccc21,C(Cl)Cl,787,,,317000,,5.501059262,40.7,0.761,0.769,0.04,0.178
C[N+]1=C(/C=C/C2=C3Oc4cc(O)ccc4C=C3CCC2)C(C)(C)c2cc(I)ccc21,O,688,711,0.27,28000,23,4.447158031,63.1,0.681,0.997,1.062,0.025
CC1=CC(=Cc2sc3ccccc3[n+]2C)C=C(C)N1CCCCCCCCCCCCN1C(C)=CC(=Cc2sc3ccccc3[n+]2C)C=C1C,CN(C)C=O,443,481,,,38,,43.2,0.759,0.977,0.031,0.613
CCCCn1/c(=C/C=C/C2=[N+](C)c3ccccc3C2(C)C)c2cccc3cccc1c32,CS(=O)C,672,,,75000,,4.875061263,45.1,0.83,1,0.072,0.647
CCCC[N+]1=C(/C=C2/N(C(C)(C)C)c3ccc(Br)cc3C2(C)C)c2cccc3cccc1c23,CO,565,,,30450,,4.483587297,55.4,0.608,0.904,0.605,0.545
CCN1/C(=C/C(C)=C/c2sc3cc(NC(=O)c4ccccc4)ccc3[n+]2CC)Sc2cc(NC(=O)c3ccccc3)ccc21,CC#N,565,589,0.002,,24,,45.6,0.645,0.974,0.044,0.286
CCN1/C(=C/C(C)=C/c2sc3cc(NC(=O)c4ccccc4)ccc3[n+]2CC)Sc2cc(NC(=O)c3ccccc3)ccc21,O,518,667,0.0007,,149,,63.1,0.681,0.997,1.062,0.025
CCN1/C(=C/C(C)=C/c2sc3cc(NC(=O)c4ccccc4)ccc3[n+]2CC)Sc2cc(NC(=O)c3ccccc3)ccc21,CO,565,,,,,,55.4,0.608,0.904,0.605,0.545
CCN1/C(=C/C(C)=C/c2sc3cc(NC(=O)c4ccccc4)ccc3[n+]2CC)Sc2cc(NC(=O)c3ccccc3)ccc21,CS(=O)C,573,597,0.01,,24,,45.1,0.83,1,0.072,0.647
CCN1/C(=C/C(C)=C/c2sc3cc(NC(=O)c4ccccc4)ccc3[n+]2CC)Sc2cc(NC(=O)c3ccccc3)ccc21,CCO,569,593,0.005,,24,,51.9,0.633,0.783,0.4,0.658
CCN1/C(=C/C(C)=C/c2sc3cc(NC(=O)c4ccccc4)ccc3[n+]2CC)Sc2cc(NC(=O)c3ccccc3)ccc21,C1COCCO1,591,603,0.04,,12,,36,0.737,0.312,0,0.444
CCCC[N+]1=C(/C=C2/N(C(C)(C)C)c3ccc(OC)cc3C2(C)C)c2cccc3cccc1c23,CO,564,,,23600,,4.372912003,55.4,0.608,0.904,0.605,0.545
CNC(=O)CC[n+]1c(/C=C2\C=CN(CCC[n+]3ccc(N(C)C)cc3)c3cc(Cl)ccc32)sc2ccccc21,CO,515,,,72400,,4.859738566,55.4,0.608,0.904,0.605,0.545
CCN1/C(=C/C=C/C=C/C=C/C2=[N+](CC)c3ccc(S(=O)(=O)[O-])cc3C2(C)C)C(C)(C)c2cc(S(=O)(=O)NC(=O)CCCCCCCC(=O)O)ccc21,O,647,664,0.25,209000,17,5.320146286,63.1,0.681,0.997,1.062,0.025
CN1/C(=C\c2cc[n+](CCC(=O)O)cc2)Sc2ccccc21,O,420,480,0.0002,,60,,63.1,0.681,0.997,1.062,0.025
CCCCNC1=C(/C=C/C2=[N+](Cc3ccc(C(=O)O)cc3)c3ccc(S(=O)(=O)[O-])cc3C2(C)C)CCC/C1=C\C=C1\N(Cc2ccc(C(=O)O)cc2)c2ccc(S(=O)(=O)O)cc2C1(C)C,CCO,592,729,,,137,,51.9,0.633,0.783,0.4,0.658
CCCCNC1=C(/C=C/C2=[N+](Cc3ccc(C(=O)O)cc3)c3ccc(S(=O)(=O)[O-])cc3C2(C)C)CCC/C1=C\C=C1\N(Cc2ccc(C(=O)O)cc2)c2ccc(S(=O)(=O)O)cc2C1(C)C,CO,589,728,,84000,139,4.924279286,55.4,0.608,0.904,0.605,0.545
CCCCNC1=C(/C=C/C2=[N+](Cc3ccc(C(=O)O)cc3)c3ccc(S(=O)(=O)[O-])cc3C2(C)C)CCC/C1=C\C=C1\N(Cc2ccc(C(=O)O)cc2)c2ccc(S(=O)(=O)O)cc2C1(C)C,CN(C)C=O,600,745,,,145,,43.2,0.759,0.977,0.031,0.613
CCCCNC1=C(/C=C/C2=[N+](Cc3ccc(C(=O)O)cc3)c3ccc(S(=O)(=O)[O-])cc3C2(C)C)CCC/C1=C\C=C1\N(Cc2ccc(C(=O)O)cc2)c2ccc(S(=O)(=O)O)cc2C1(C)C,O,586,752,,,166,,63.1,0.681,0.997,1.062,0.025
CCCCN1/C(=C/C=C/C2=[N+](C)c3ccccc3C2(C)C)C(C)(C)c2cc(OC)ccc21,CS(=O)C,566,585,0.03,94000,19,4.973127854,45.1,0.83,1,0.072,0.647
CN1C=C/C(=C\c2sc3ccccc3[n+]2CCC(=O)NC2CCCCC2)c2ccc(Cl)cc21,CO,511,,,57800,,4.761927838,55.4,0.608,0.904,0.605,0.545
C[n+]1cc(-c2sc(C(=O)O)c3c2OCCO3)cc2ccccc21,O,486,576,,,90,,63.1,0.681,0.997,1.062,0.025
CN1/C(=C/C=C2\CCCC(C3=[N+](C)c4ccc(-c5ccccc5)c(-c5ccccc5)c4C3(C)C)=C2c2c([O-])n(C)c(=O)n(C)c2=O)C(C)(C)c2c1ccc(-c1ccccc1)c2-c1ccccc1,C(Cl)Cl,787,,,258000,,5.411619706,40.7,0.761,0.769,0.04,0.178
CN1/C(=C/C=C/c2oc3ccccc3[n+]2C)Oc2ccccc21,CS(=O)C,490,512,0.35,114815,22,5.05999863,45.1,0.83,1,0.072,0.647
C#CCOc1ccc2c(c1)C(C)(C)C(/C=C/C=C(/C=C/C=C1/N(CCCCS(=O)(=O)[O-])c3ccc(OCC#C)cc3C1(C)C)C(=O)O)=[N+]2CCCCS(=O)(=O)[O-],CO,777,819,0.0304,215400,42,5.333245699,55.4,0.608,0.904,0.605,0.545
C[n+]1ccc(C=Cc2ccc(N(c3ccccc3)c3ccccc3)cc2)c2ccccc21,C1CCOC1,540,756,,,216,,37.4,0.714,0.634,0,0.591
C[n+]1ccc(C=Cc2ccc(N(c3ccccc3)c3ccccc3)cc2)c2ccccc21,CN(C)C=O,517,776,,9500,259,3.977723605,43.2,0.759,0.977,0.031,0.613
C[n+]1ccc(C=Cc2ccc(N(c3ccccc3)c3ccccc3)cc2)c2ccccc21,CCOC(=O)C,512,712,,,200,,38.1,0.656,0.603,0,0.542
COC(=O)CCCCC[n+]1ccc(/C=C2/Sc3ccccc3N2C)cc1,O,455,480,0.029,,25,,63.1,0.681,0.997,1.062,0.025
CC(=O)OC(=C\C=C1\N(CCCCS(=O)(=O)O)c2ccc(C(F)(F)F)cc2C1(C)C)/C=C/C=C/C1=[N+](CCCCS(=O)(=O)[O-])c2ccc(C(F)(F)F)cc2C1(C)C,O,746,775,0.1996,88000,29,4.944482672,63.1,0.681,0.997,1.062,0.025
CC1=C(c2ccccc2)/C(=C/c2c(-c3ccccc3)c(C)c3ccccn23)[n+]2ccccc21,C(Cl)Cl,646,693,0.01,18000,47,4.255272505,40.7,0.761,0.769,0.04,0.178
CN(C)c1cc[n+](C(=C\C=C2\Sc3ccccc3N2Cc2ccccc2)/C=C/c2sc3ccccc3[n+]2Cc2ccccc2)cc1,CO,631,662,0.231,253233,31,5.4035203,55.4,0.608,0.904,0.605,0.545
Cc1cc[n+](C(=C\C=C2\Sc3ccccc3N2Cc2ccccc2)/C=C/c2sc3ccccc3[n+]2Cc2ccccc2)cc1,CO,628,655,0.207,152739,27,5.183949943,55.4,0.608,0.904,0.605,0.545
CN(C)c1ccc(C=Cc2cc[n+](CCC[n+]3ccc(C=Cc4ccc(N(C)C)cc4)cc3)cc2)cc1,CCOC(=O)C,476,597,,,121,,38.1,0.656,0.603,0,0.542
CN(C)c1ccc(C=Cc2cc[n+](CCC[n+]3ccc(C=Cc4ccc(N(C)C)cc4)cc3)cc2)cc1,CN(C)C=O,485,629,,98200,144,4.992111488,43.2,0.759,0.977,0.031,0.613
CN(C)c1ccc(C=Cc2cc[n+](CCC[n+]3ccc(C=Cc4ccc(N(C)C)cc4)cc3)cc2)cc1,C1CCOC1,476,601,,,125,,37.4,0.714,0.634,0,0.591
CC1(C)C2=C(C=CC=C(C#N)C#N)CCCN2c2ccccc21,CC1=CC=CC=C1,554,583,0.0014,,29,,33.9,0.782,0.284,0,0.128
CC1(C)C2=C(C=CC=C(C#N)C#N)CCCN2c2ccccc21,C(Cl)Cl,566,588,,,22,,40.7,0.761,0.769,0.04,0.178
CC1(C)C2=C(C=CC=C(C#N)C#N)CCCN2c2ccccc21,CCO,562,583,0.009,,21,,51.9,0.633,0.783,0.4,0.658
CC1(C)C2=C(C=CC=C(C#N)C#N)CCCN2c2ccccc21,CCCCCC,553,575,,,22,,31,0.616,0,0,0.056
CC1(C)C2=C(C=CC=C(C#N)C#N)CCCN2c2ccccc21,CN(C)C=O,566,589,,,23,,43.2,0.759,0.977,0.031,0.613
CCN1C(=CC=Cc2sc3ccccc3[n+]2CC)Sc2ccccc21,C(Cl)Cl,560,580,0.06,151000,20,5.178976947,40.7,0.761,0.769,0.04,0.178
CCN1C(=CC=Cc2sc3ccccc3[n+]2CC)Sc2ccccc21,CCO,558,577,0.05,138000,19,5.139879086,51.9,0.633,0.783,0.4,0.658
O=[N+]([O-])c1ccc(CN2/C(=C\C=C(Cl)\C=C\c3sc4ccccc4[n+]3Cc3ccc([N+](=O)[O-])cc3)Sc3ccccc32)cc1,CO,599,635,0.09,5833,36,3.765891976,55.4,0.608,0.904,0.605,0.545
CCOc1cccc(OCC)c1C1=C(/C=C/C2=[N+](CC)c3ccccc3C2(C)C)CCC/C1=C\C=C1\N(CC)c2ccccc2C1(C)C,O,760,790,0.18,239000,30,5.378397901,63.1,0.681,0.997,1.062,0.025
CCOc1cccc(OCC)c1C1=C(/C=C/C2=[N+](CC)c3ccccc3C2(C)C)CCC/C1=C\C=C1\N(CC)c2ccccc2C1(C)C,CC#N,759,790,0.23,257000,31,5.409933123,45.6,0.645,0.974,0.044,0.286
CCOc1cccc(OCC)c1C1=C(/C=C/C2=[N+](CC)c3ccccc3C2(C)C)CCC/C1=C\C=C1\N(CC)c2ccccc2C1(C)C,C(Cl)Cl,768,798,0.31,345000,30,5.537819095,40.7,0.761,0.769,0.04,0.178
CC1(C)C(/C=C/C=C/C=C2/N(CCCCN3C(=O)c4ccccc4C3=O)c3ccccc3C2(C)C)=[N+](CCCCCC(=O)O)c2ccc(Cc3ccccc3)cc21,O,669,677,,,8,,63.1,0.681,0.997,1.062,0.025
CC1(C)C(/C=C/C=C/C=C2/N(CCCCN3C(=O)c4ccccc4C3=O)c3ccccc3C2(C)C)=[N+](CCCCCC(=O)O)c2ccc(Cc3ccccc3)cc21,CS(=O)C,670,691,,,21,,45.1,0.83,1,0.072,0.647
CCN(CC)C1=CC2Oc3cc(OC(=O)OCc4cc5ccccc5[n+](C)c4)ccc3C3(OC(=O)c4ccccc43)C2C=C1,O,510,552,,,42,,63.1,0.681,0.997,1.062,0.025
CC1(C)C(/C=C/C=C2/N(CCCCCC(=O)O)c3ccccc3C2(C)C)=[N+](CCCCCC(=O)O)c2ccccc21,O,545,560,0.132,,16,,63.1,0.681,0.997,1.062,0.025
CC1(C)C(/C=C/C=C2/N(CCCCCC(=O)O)c3ccccc3C2(C)C)=[N+](CCCCCC(=O)O)c2ccccc21,CO,549,564,0.216,,15,,55.4,0.608,0.904,0.605,0.545
CC1(CCCC(=O)O)/C(=C/C=C/C2=C3C=C4C(CS(=O)(=O)[O-])=CC(C)(C)N(CCCS(=O)(=O)[O-])C4=[O+]C3CC(c3ccccc3)=C2)N(CCCS(=O)(=O)[O-])c2ccc(S(=O)(=O)[O-])cc21,CCO,675,710,0.15,,35,,51.9,0.633,0.783,0.4,0.658
CC1(CCCC(=O)O)/C(=C/C=C/C2=C3C=C4C(CS(=O)(=O)[O-])=CC(C)(C)N(CCCS(=O)(=O)[O-])C4=[O+]C3CC(c3ccccc3)=C2)N(CCCS(=O)(=O)[O-])c2ccc(S(=O)(=O)[O-])cc21,O,662,696,0.04,,34,,63.1,0.681,0.997,1.062,0.025
CC[n+]1c(/C=C/C=C/C=C/N(C)C)sc2ccccc21,CCO,583,607,0.094,,24,,51.9,0.633,0.783,0.4,0.658
Cc1ccc[n+](C(=C\C=C2\Sc3ccccc3N2C)/C=C/c2sc3ccccc3[n+]2C)c1,CO,613,643,0.078,218000,30,5.338456494,55.4,0.608,0.904,0.605,0.545
O=[N+]([O-])c1ccc(CN2/C(=C\C=C(\C=C\c3sc4ccccc4[n+]3Cc3ccc([N+](=O)[O-])cc3)[n+]3ccccc3)Sc3ccccc32)cc1,CO,626,655,0.012,78000,29,4.892094603,55.4,0.608,0.904,0.605,0.545
CC1(C)C(/C=C/C2=C(Cl)/C(=C/C=C3/N(CCCCS(=O)(=O)[O-])c4ccc5ccccc5c4C3(C)C)CCC2)=[N+](CCCCS(=O)(=O)[O-])c2ccc3ccccc3c21,CO,820,836,,,16,,55.4,0.608,0.904,0.605,0.545
CCN1/C(=C/C=C2\CCCC(/C=C/C3=[N+](CC)c4ccc(S(=O)(=O)[O-])cc4C3(C)C)=C2NCCS(=O)(=O)O)C(C)(C)c2cc(S(=O)(=O)O)ccc21,CCO,630,741,,,111,,51.9,0.633,0.783,0.4,0.658
CCN1/C(=C/C=C2\CCCC(/C=C/C3=[N+](CC)c4ccc(S(=O)(=O)[O-])cc4C3(C)C)=C2NCCS(=O)(=O)O)C(C)(C)c2cc(S(=O)(=O)O)ccc21,O,626,760,,,134,,63.1,0.681,0.997,1.062,0.025
CCN1/C(=C/C=C2\CCCC(/C=C/C3=[N+](CC)c4ccc(S(=O)(=O)[O-])cc4C3(C)C)=C2NCCS(=O)(=O)O)C(C)(C)c2cc(S(=O)(=O)O)ccc21,CN(C)C=O,631,746,,,115,,43.2,0.759,0.977,0.031,0.613
CCN1/C(=C/C=C2\CCCC(/C=C/C3=[N+](CC)c4ccc(S(=O)(=O)[O-])cc4C3(C)C)=C2NCCS(=O)(=O)O)C(C)(C)c2cc(S(=O)(=O)O)ccc21,CO,627,740,,124000,113,5.093421685,55.4,0.608,0.904,0.605,0.545
CCCCN1/C(=C\C=C(\C=C\c2sc3ccccc3[n+]2CCCC)[n+]2ccc(N(C)C)cc2)Sc2ccccc21,CO,624,654,0.135,220533,30,5.343473585,55.4,0.608,0.904,0.605,0.545
C[n+]1cc(/C=C/C2=C(C#N)C(=C(C#N)C#N)OC2(C)C)cc2ccccc21,O,582,610,,,28,,63.1,0.681,0.997,1.062,0.025
CCCC[N+]1=C(/C=C2/N(C(C)(C)C)c3ccc(Cl)cc3C2(C)C)c2cccc3cccc1c23,CO,562,,,32500,,4.511883361,55.4,0.608,0.904,0.605,0.545
CC1(C)C(/C=C/C2=C(NCc3ccccc3)/C(=C/C=C3/N(Cc4ccc(C(=O)O)cc4)c4ccc(S(=O)(=O)O)cc4C3(C)C)CCC2)=[N+](Cc2ccc(C(=O)O)cc2)c2ccc(S(=O)(=O)[O-])cc21,CO,614,733,,127000,119,5.103803721,55.4,0.608,0.904,0.605,0.545
CC1(C)C(/C=C/C2=C(NCc3ccccc3)/C(=C/C=C3/N(Cc4ccc(C(=O)O)cc4)c4ccc(S(=O)(=O)O)cc4C3(C)C)CCC2)=[N+](Cc2ccc(C(=O)O)cc2)c2ccc(S(=O)(=O)[O-])cc21,CN(C)C=O,620,746,,,126,,43.2,0.759,0.977,0.031,0.613
CC1(C)C(/C=C/C2=C(NCc3ccccc3)/C(=C/C=C3/N(Cc4ccc(C(=O)O)cc4)c4ccc(S(=O)(=O)O)cc4C3(C)C)CCC2)=[N+](Cc2ccc(C(=O)O)cc2)c2ccc(S(=O)(=O)[O-])cc21,O,612,748,,,136,,63.1,0.681,0.997,1.062,0.025
CC1(C)C(/C=C/C2=C(NCc3ccccc3)/C(=C/C=C3/N(Cc4ccc(C(=O)O)cc4)c4ccc(S(=O)(=O)O)cc4C3(C)C)CCC2)=[N+](Cc2ccc(C(=O)O)cc2)c2ccc(S(=O)(=O)[O-])cc21,CCO,619,746,,,127,,51.9,0.633,0.783,0.4,0.658
CC/C(c1c2ccccc2c2n(C)c(-c3ccco3)nn12)=c1\c2ccccc2c2n1nc(-c1ccco1)[n+]2C,CC#N,571,,,79432,,4.899995498,45.6,0.645,0.974,0.044,0.286
Cc1cc(-c2ccc(/C=C/c3cc[n+](C)cc3)o2)c(O)c(-c2nc3ccccc3s2)c1,CC#N,448,770,0.115,41851,322,4.62170584,45.6,0.645,0.974,0.044,0.286
Cc1cc(-c2ccc(/C=C/c3cc[n+](C)cc3)o2)c(O)c(-c2nc3ccccc3s2)c1,O,450,770,0.003,15410,320,4.187802639,63.1,0.681,0.997,1.062,0.025
Cc1cc(-c2ccc(/C=C/c3cc[n+](C)cc3)o2)c(O)c(-c2nc3ccccc3s2)c1,CO,457,770,0.109,65417,313,4.815690624,55.4,0.608,0.904,0.605,0.545
CC1(C)C2=C(C=C/C=C\C=C3CCC[N+]4=C3C(C)(C)c3ccccc34)CCCN2c2ccccc21,CN(C)C=O,794,815,,,21,,43.2,0.759,0.977,0.031,0.613
CC1(C)C2=C(C=C/C=C\C=C3CCC[N+]4=C3C(C)(C)c3ccccc34)CCCN2c2ccccc21,CCO,789,810,0.15,,21,,51.9,0.633,0.783,0.4,0.658
CC1(C)C2=C(C=C/C=C\C=C3CCC[N+]4=C3C(C)(C)c3ccccc34)CCCN2c2ccccc21,C(Cl)Cl,795,813,,,18,,40.7,0.761,0.769,0.04,0.178
CCN(CC)CCNC(=O)CCCCCN1C(C)=CC(=Cc2sc3ccccc3[n+]2C)C=C1C,CN(C)C=O,446,,,,,,43.2,0.759,0.977,0.031,0.613
